step	total_gs	compute_gs	write_gs
1	0.191	0.186	0.001
2	0.379	0.369	0.002
3	0.565	0.55	0.002
4	0.751	0.731	0.003
5	0.938	0.913	0.004
6	1.124	1.095	0.005
7	1.31	1.276	0.006
8	1.495	1.456	0.007
9	1.68	1.637	0.008
10	1.939	1.818	0.082
11	6601.79	4401.98	0.083
12	13201.1	8801.76	0.084
13	19800.9	13202.1	0.084
14	26400.9	17602.8	0.085
15	33001	22003.1	0.086
16	39601.1	26403.4	0.087
17	46201.1	30803.5	0.087
18	52801.2	35203.5	0.088
19	59400.7	39603.2	0.089
20	66000.8	44003.4	0.162
21	66001	44003.6	0.163
22	66001.2	44003.8	0.164
23	66001.4	44004	0.165
24	66001.6	44004.2	0.166
25	66001.8	44004.4	0.166
26	66001.9	44004.5	0.167
27	66002.1	44004.7	0.167
28	66002.3	44004.9	0.168
29	66002.5	44005.1	0.169
30	66002.8	44005.3	0.242
31	72602.8	48405.4	0.243
32	79202.9	52806.4	0.244
33	85802.8	57206.4	0.245
34	92402.6	61606.3	0.246
35	99002.9	66006.4	0.246
36	105603	70406.5	0.247
37	112203	74806.6	0.247
38	118803	79206.5	0.248
39	125403	83606.8	0.249
40	132003	88006.8	0.323
41	132003	88007	0.324
42	132004	88007.1	0.324
43	132004	88007.3	0.325
44	132004	88007.5	0.326
45	132004	88007.7	0.327
46	132004	88007.9	0.327
47	132005	88008	0.328
48	132005	88008.2	0.329
49	132005	88008.4	0.33
50	132005	88008.6	0.404
51	138605	92408.5	0.405
52	145205	96808.6	0.406
53	151805	101209	0.407
54	158405	105609	0.407
55	165004	110009	0.408
56	171604	114409	0.409
57	178204	118809	0.41
58	184804	123210	0.41
59	191404	127610	0.411
60	198004	132010	0.484
61	198004	132010	0.485
62	198004	132011	0.486
63	198004	132011	0.486
64	198004	132011	0.487
65	198005	132011	0.488
66	198005	132011	0.488
67	198005	132011	0.488
68	198005	132012	0.489
69	198005	132012	0.489
70	198006	132012	0.563
71	204606	136412	0.564
72	211206	140813	0.565
73	217806	145212	0.566
74	224405	149612	0.567
75	231005	154012	0.568
76	237606	158412	0.569
77	244206	162812	0.569
78	250806	167213	0.57
79	257406	171613	0.57
80	264007	176014	0.643
81	264007	176014	0.644
82	264007	176014	0.645
83	264007	176014	0.646
84	264007	176014	0.647
85	264008	176014	0.648
86	264008	176015	0.649
87	264008	176015	0.65
88	264008	176015	0.651
89	264008	176015	0.652
90	264009	176015	0.725
91	270609	180415	0.725
92	277209	184816	0.726
93	283809	189216	0.726
94	290409	193616	0.727
95	297008	198017	0.727
96	303608	202417	0.727
97	310208	206817	0.728
98	316808	211217	0.728
99	323408	215618	0.729
100	330008	220018	0.802
101	330009	220018	0.803
102	330009	220018	0.804
103	330009	220018	0.804
104	330009	220019	0.805
105	330009	220019	0.806
106	330010	220019	0.807
107	330010	220019	0.808
108	330010	220019	0.809
109	330010	220020	0.81
110	330010	220020	0.883
111	336611	224420	0.884
112	343210	228820	0.885
113	349811	233220	0.885
114	356410	237620	0.885
115	363011	242020	0.886
116	369611	246420	0.887
117	376210	250820	0.888
118	382810	255220	0.889
119	389410	259621	0.89
120	394907	264021	0.962
121	394907	264021	0.963
122	394907	264022	0.964
123	394908	264022	0.964
124	394908	264022	0.964
125	394908	264022	0.965
126	394908	264022	0.965
127	394908	264022	0.966
128	394908	264023	0.967
129	394909	264023	0.967
130	394909	264023	1.04
131	401508	268423	1.041
132	408109	272823	1.042
133	414708	277224	1.043
134	421308	281624	1.043
135	427908	286024	1.044
136	434508	290424	1.044
137	441108	294824	1.044
138	447708	299224	1.044
139	454308	303624	1.045
140	460908	308024	1.118
141	460908	308024	1.119
142	460908	308024	1.12
143	460908	308025	1.121
144	460908	308025	1.122
145	460908	308025	1.123
146	460909	308025	1.123
147	460909	308025	1.124
148	460909	308025	1.125
149	460909	308026	1.126
150	460909	308026	1.199
151	467509	312426	1.2
152	474109	316826	1.2
153	480709	321226	1.201
154	487309	325626	1.201
155	493909	330027	1.202
156	500509	334427	1.203
157	507109	338827	1.204
158	513709	343227	1.205
159	520309	347627	1.206
160	526909	352028	1.279
161	526910	352028	1.28
162	526910	352028	1.281
163	526910	352028	1.281
164	526910	352028	1.282
165	526910	352028	1.283
166	526910	352029	1.283
167	526911	352029	1.284
168	526911	352029	1.284
169	526911	352029	1.285
170	526911	352029	1.358
171	533511	356429	1.359
172	540111	360829	1.36
173	546711	365229	1.36
174	553311	369630	1.36
175	559911	374030	1.36
176	566511	378430	1.36
177	573111	382830	1.361
178	579711	387230	1.362
179	586311	391630	1.363
180	592911	396031	1.436
181	592911	396031	1.436
182	592911	396031	1.437
183	592912	396031	1.438
184	592912	396031	1.438
185	592912	396032	1.439
186	592912	396032	1.44
187	592912	396032	1.441
188	592912	396032	1.442
189	592913	396032	1.443
190	592913	396033	1.516
191	599512	400432	1.517
192	606112	404833	1.517
193	612712	409233	1.518
194	619312	413633	1.519
195	625912	418033	1.52
196	625912	418034	1.521
197	625913	418034	1.522
198	625913	418034	1.523
199	625913	418034	1.523
200	625913	418034	1.596
201	632513	422434	1.597
202	639113	426835	1.597
203	645714	431235	1.597
204	652314	435635	1.598
205	658914	440035	1.599
206	665514	444436	1.6
207	672114	448836	1.601
208	678714	453236	1.602
209	685314	457636	1.602
210	691914	462036	1.675
211	691914	462036	1.676
212	691914	462036	1.677
213	691915	462036	1.678
214	691915	462037	1.679
215	691915	462037	1.68
216	691915	462037	1.68
217	691915	462037	1.681
218	691916	462037	1.681
219	691916	462037	1.682
220	691916	462038	1.755
221	698516	466438	1.755
222	705115	470838	1.755
223	711715	475238	1.755
224	718316	479638	1.755
225	724915	484038	1.755
226	731515	488438	1.755
227	738115	492838	1.756
228	744715	497238	1.757
229	751315	501638	1.758
230	757914	506038	1.832
231	757914	506039	1.833
232	757915	506039	1.833
233	757915	506039	1.834
234	757915	506039	1.834
235	757915	506039	1.835
236	757915	506039	1.836
237	757916	506040	1.837
238	757916	506040	1.838
239	757916	506040	1.839
240	757916	506040	1.913
241	764516	510440	1.914
242	771116	514840	1.915
243	777716	519241	1.916
244	784316	523641	1.916
245	790917	528041	1.917
246	797516	532441	1.918
247	804116	536841	1.919
248	810716	541241	1.92
249	817316	545641	1.921
250	823916	550041	1.994
251	823916	550042	1.995
252	823916	550042	1.996
253	823916	550042	1.996
254	823917	550042	1.997
255	823917	550042	1.998
256	823917	550042	1.999
257	823917	550043	2
258	823917	550043	2
259	823917	550043	2.001
260	823918	550043	2.074
261	830517	554443	2.074
262	837117	558844	2.075
263	843717	563244	2.075
264	850317	567645	2.076
265	856917	572045	2.077
266	863517	576445	2.078
267	870117	580846	2.078
268	876717	585246	2.079
269	883317	589646	2.08
270	889917	594046	2.153
271	889917	594046	2.154
272	889917	594046	2.155
273	889917	594046	2.156
274	889918	594047	2.157
275	889918	594047	2.157
276	889918	594047	2.157
277	889918	594047	2.158
278	889918	594047	2.159
279	889918	594047	2.16
280	889919	594048	2.233
281	895415	598447	2.234
282	902015	603944	2.235
283	908616	608345	2.236
284	915215	612744	2.237
285	921815	617145	2.238
286	928415	621545	2.239
287	935015	625945	2.239
288	941615	630345	2.24
289	948214	634745	2.241
290	954814	639145	2.314
291	954814	639145	2.315
292	954814	639146	2.316
293	954815	639146	2.317
294	954815	639146	2.318
295	954815	639146	2.319
296	954815	639146	2.32
297	954815	639146	2.321
298	954816	639147	2.322
299	954816	639147	2.323
300	954816	639147	2.397
301	961416	643547	2.398
302	968016	647947	2.399
303	974615	652347	2.4
304	981215	656747	2.401
305	987815	661147	2.402
306	994415	665547	2.403
307	1.00102e+06	669948	2.404
308	1.00762e+06	674348	2.405
309	1.01422e+06	678748	2.406
310	1.02082e+06	683148	2.478
311	1.02082e+06	683148	2.479
312	1.02082e+06	683148	2.479
313	1.02082e+06	683149	2.48
314	1.02082e+06	683149	2.481
315	1.02082e+06	683149	2.482
316	1.02082e+06	683149	2.483
317	1.02082e+06	683149	2.484
318	1.02082e+06	683149	2.485
319	1.02082e+06	683150	2.486
320	1.02082e+06	683150	2.56
321	1.02742e+06	687550	2.56
322	1.03402e+06	691950	2.561
323	1.04062e+06	696350	2.562
324	1.04722e+06	700750	2.563
325	1.05382e+06	705150	2.564
326	1.06042e+06	709550	2.565
327	1.06702e+06	713950	2.565
328	1.07362e+06	718350	2.566
329	1.08022e+06	722751	2.567
330	1.08682e+06	727150	2.64
331	1.08682e+06	727150	2.64
332	1.08682e+06	727150	2.641
333	1.08682e+06	727150	2.642
334	1.08682e+06	727151	2.642
335	1.08682e+06	727151	2.643
336	1.08682e+06	727151	2.644
337	1.08682e+06	727151	2.645
338	1.08682e+06	727151	2.646
339	1.08682e+06	727152	2.646
340	1.08682e+06	727152	2.719
341	1.09342e+06	731552	2.72
342	1.10002e+06	735952	2.721
343	1.10662e+06	740352	2.722
344	1.11322e+06	744752	2.723
345	1.11982e+06	749153	2.724
346	1.12642e+06	753553	2.725
347	1.13302e+06	757953	2.726
348	1.13962e+06	762353	2.726
349	1.14622e+06	766753	2.726
350	1.15282e+06	771153	2.799
351	1.15282e+06	771154	2.8
352	1.15282e+06	771154	2.801
353	1.15282e+06	771154	2.802
354	1.15282e+06	771154	2.803
355	1.15282e+06	771154	2.804
356	1.15282e+06	771154	2.805
357	1.15282e+06	771155	2.806
358	1.15282e+06	771155	2.807
359	1.15282e+06	771155	2.808
360	1.15282e+06	771155	2.881
361	1.15942e+06	775555	2.882
362	1.16602e+06	779956	2.882
363	1.17262e+06	784356	2.883
364	1.17922e+06	788756	2.884
365	1.18582e+06	793156	2.885
366	1.19242e+06	797556	2.886
367	1.19902e+06	801956	2.886
368	1.20562e+06	806357	2.887
369	1.21222e+06	810757	2.887
370	1.21882e+06	815156	2.96
371	1.21882e+06	815157	2.96
372	1.21882e+06	815157	2.961
373	1.21882e+06	815157	2.962
374	1.21882e+06	815157	2.963
375	1.21882e+06	815157	2.963
376	1.21882e+06	815157	2.964
377	1.21882e+06	815158	2.965
378	1.21882e+06	815158	2.966
379	1.21882e+06	815158	2.967
380	1.21882e+06	815158	3.04
381	1.22542e+06	819558	3.041
382	1.23202e+06	823958	3.042
383	1.23862e+06	828358	3.042
384	1.24522e+06	832759	3.043
385	1.25182e+06	837159	3.043
386	1.25732e+06	841559	3.044
387	1.26392e+06	845960	3.044
388	1.27052e+06	850360	3.045
389	1.27712e+06	854760	3.045
390	1.28372e+06	859160	3.118
391	1.28372e+06	859160	3.119
392	1.28372e+06	859161	3.12
393	1.28372e+06	859161	3.121
394	1.28372e+06	859161	3.122
395	1.28372e+06	859161	3.123
396	1.28372e+06	859161	3.124
397	1.28372e+06	859161	3.125
398	1.28372e+06	859162	3.126
399	1.28372e+06	859162	3.127
400	1.28372e+06	859162	3.2
401	1.29032e+06	863562	3.201
402	1.29692e+06	867962	3.202
403	1.30352e+06	872363	3.203
404	1.31012e+06	876763	3.204
405	1.31672e+06	881163	3.205
406	1.32332e+06	885563	3.206
407	1.32992e+06	889963	3.207
408	1.33652e+06	894363	3.208
409	1.34312e+06	898763	3.208
410	1.34861e+06	903163	3.281
411	1.34861e+06	903163	3.282
412	1.34861e+06	903163	3.283
413	1.34861e+06	903164	3.284
414	1.34861e+06	903164	3.284
415	1.34861e+06	903164	3.285
416	1.34861e+06	903164	3.286
417	1.34861e+06	903164	3.287
418	1.34861e+06	903164	3.288
419	1.34862e+06	903165	3.289
420	1.34862e+06	903165	3.362
421	1.35521e+06	907565	3.363
422	1.36181e+06	911965	3.364
423	1.36841e+06	916365	3.365
424	1.37501e+06	920765	3.366
425	1.38161e+06	925165	3.366
426	1.38821e+06	929566	3.367
427	1.39482e+06	933966	3.367
428	1.40141e+06	938367	3.368
429	1.40801e+06	942767	3.369
430	1.41461e+06	947167	3.443
431	1.41461e+06	947167	3.444
432	1.41461e+06	947167	3.445
433	1.41461e+06	947167	3.446
434	1.41461e+06	947167	3.446
435	1.41461e+06	947167	3.447
436	1.41461e+06	947168	3.448
437	1.41461e+06	947168	3.448
438	1.41462e+06	947168	3.449
439	1.41462e+06	947168	3.45
440	1.41462e+06	947168	3.523
441	1.42122e+06	951568	3.523
442	1.42782e+06	955968	3.524
443	1.43442e+06	960368	3.525
444	1.43991e+06	964768	3.526
445	1.44542e+06	968072	3.527
446	1.45202e+06	972472	3.528
447	1.45862e+06	976872	3.529
448	1.46522e+06	981272	3.529
449	1.47182e+06	985672	3.53
450	1.47842e+06	990073	3.603
451	1.47842e+06	990073	3.604
452	1.47842e+06	990073	3.604
453	1.47842e+06	990073	3.604
454	1.47842e+06	990073	3.605
455	1.47842e+06	990074	3.606
456	1.47842e+06	990074	3.607
457	1.47842e+06	990074	3.608
458	1.47842e+06	990074	3.609
459	1.47842e+06	990074	3.61
460	1.47842e+06	990074	3.684
461	1.48502e+06	994475	3.685
462	1.49162e+06	998875	3.686
463	1.49822e+06	1.00327e+06	3.687
464	1.50482e+06	1.00768e+06	3.687
465	1.51142e+06	1.01208e+06	3.688
466	1.51802e+06	1.01648e+06	3.688
467	1.52462e+06	1.02088e+06	3.689
468	1.53122e+06	1.02528e+06	3.69
469	1.53782e+06	1.02967e+06	3.691
470	1.54442e+06	1.03407e+06	3.764
471	1.54442e+06	1.03407e+06	3.765
472	1.54442e+06	1.03407e+06	3.766
473	1.54442e+06	1.03407e+06	3.767
474	1.54442e+06	1.03408e+06	3.767
475	1.54442e+06	1.03408e+06	3.767
476	1.54442e+06	1.03408e+06	3.768
477	1.54442e+06	1.03408e+06	3.769
478	1.54442e+06	1.03408e+06	3.77
479	1.54442e+06	1.03408e+06	3.771
480	1.54442e+06	1.03408e+06	3.844
481	1.55102e+06	1.03848e+06	3.845
482	1.55762e+06	1.04288e+06	3.846
483	1.56422e+06	1.04728e+06	3.847
484	1.57082e+06	1.05168e+06	3.848
485	1.57742e+06	1.05608e+06	3.849
486	1.58402e+06	1.06048e+06	3.85
487	1.59062e+06	1.06488e+06	3.851
488	1.59722e+06	1.06928e+06	3.852
489	1.60382e+06	1.07368e+06	3.853
490	1.61042e+06	1.07808e+06	3.926
491	1.61042e+06	1.07808e+06	3.926
492	1.61042e+06	1.07808e+06	3.927
493	1.61042e+06	1.07808e+06	3.927
494	1.61042e+06	1.07808e+06	3.927
495	1.61042e+06	1.07808e+06	3.928
496	1.61042e+06	1.07808e+06	3.928
497	1.61042e+06	1.07808e+06	3.929
498	1.61042e+06	1.07808e+06	3.93
499	1.61042e+06	1.07808e+06	3.93
500	1.61042e+06	1.07808e+06	4.004
501	1.61702e+06	1.08248e+06	4.005
502	1.62362e+06	1.08688e+06	4.006
